Hora_actual,ProxLlegada_FC1,CantCola_Cola,Desertados_Cola,CantCola_Prioridad,ProxDeser_1,ProxDeser_2,ProxDeser_3,ProxDeser_4,Estado_ZS,FinZS_ZS,FinServ_PS,Ocupacion_PS,Actividad_PS,IniDescanso_PS,FinDescanso_PS,CantDescansos_PS,Total_Atendidos,Total_Desertores
000:00:00,000:00:45,0,0,0,,,,,LIBRE,-,-,LIBRE,ACTIVO,000:01:00,,0,0,0
000:00:45,000:01:30,0,0,0,,,,,OCUP,000:01:15,-,LIBRE,ACTIVO,000:01:00,,0,0,0
000:01:00,000:01:30,0,0,0,,,,,OCUP,000:01:15,-,LIBRE,DESCANSANDO,,000:02:00,1,0,0
000:01:15,000:01:30,0,0,0,,,,,OCUP,000:01:15,-,LIBRE,DESCANSANDO,,000:02:00,1,0,0
000:01:30,000:02:15,1,0,0,000:11:30,,,,OCUP,000:01:15,-,LIBRE,DESCANSANDO,,000:02:00,1,0,0
000:02:00,000:02:15,1,0,0,000:11:30,,,,OCUP,000:01:15,-,LIBRE,ACTIVO,000:03:00,,1,0,0
000:02:15,000:03:00,2,0,0,000:11:30,000:12:15,,,LIBRE,-,000:03:05,OCUPADO,ACTIVO,000:03:00,,1,0,0
000:03:00,000:03:45,3,0,0,000:11:30,000:12:15,000:13:00,,LIBRE,-,000:04:05,OCUPADO,DESCANSANDO,,000:04:00,2,0,0
000:03:45,000:04:30,3,0,1,000:11:30,000:12:15,000:13:00,,LIBRE,-,000:04:05,OCUPADO,DESCANSANDO,,000:04:00,2,0,0
000:04:00,000:04:30,3,0,1,000:11:30,000:12:15,000:13:00,,LIBRE,-,000:04:05,OCUPADO,ACTIVO,000:05:00,,2,0,0
000:04:05,000:04:30,2,0,1,000:12:15,000:13:00,,,OCUP,000:04:35,-,LIBRE,ACTIVO,000:05:00,,2,1,0
000:04:30,000:05:15,2,0,2,000:12:15,000:13:00,,,OCUP,000:04:35,-,LIBRE,ACTIVO,000:05:00,,2,1,0
000:04:35,000:05:15,2,0,2,000:12:15,000:13:00,,,LIBRE,-,000:05:25,OCUPADO,ACTIVO,000:05:00,,2,1,0
000:05:00,000:05:15,2,0,2,000:12:15,000:13:00,,,LIBRE,-,000:06:25,OCUPADO,DESCANSANDO,,000:06:00,3,1,0
000:05:15,000:06:00,2,0,3,000:12:15,000:13:00,,,LIBRE,-,000:06:25,OCUPADO,DESCANSANDO,,000:06:00,3,1,0
000:06:00,000:06:45,3,0,3,000:12:15,000:13:00,000:16:00,,LIBRE,-,000:06:25,OCUPADO,ACTIVO,000:07:00,,3,1,0
000:06:25,000:06:45,2,0,3,000:13:00,000:16:00,,,OCUP,000:06:55,-,LIBRE,ACTIVO,000:07:00,,3,2,0
000:06:45,000:07:30,3,0,3,000:13:00,000:16:00,000:16:45,,OCUP,000:06:55,-,LIBRE,ACTIVO,000:07:00,,3,2,0
000:06:55,000:07:30,3,0,3,000:13:00,000:16:00,000:16:45,,LIBRE,-,000:07:45,OCUPADO,ACTIVO,000:07:00,,3,2,0
000:07:00,000:07:30,3,0,3,000:13:00,000:16:00,000:16:45,,LIBRE,-,000:08:45,OCUPADO,DESCANSANDO,,000:08:00,4,2,0
000:07:30,000:08:15,3,0,4,000:13:00,000:16:00,000:16:45,,LIBRE,-,000:08:45,OCUPADO,DESCANSANDO,,000:08:00,4,2,0
000:08:00,000:08:15,3,0,4,000:13:00,000:16:00,000:16:45,,LIBRE,-,000:08:45,OCUPADO,ACTIVO,000:09:00,,4,2,0
000:08:15,000:09:00,3,0,5,000:13:00,000:16:00,000:16:45,,LIBRE,-,000:08:45,OCUPADO,ACTIVO,000:09:00,,4,2,0
000:08:45,000:09:00,2,0,5,000:16:00,000:16:45,,,OCUP,000:09:15,-,LIBRE,ACTIVO,000:09:00,,4,3,0
000:09:00,000:09:45,3,0,5,000:16:00,000:16:45,000:19:00,,OCUP,000:09:15,-,LIBRE,DESCANSANDO,,000:10:00,5,3,0
000:09:15,000:09:45,3,0,5,000:16:00,000:16:45,000:19:00,,OCUP,000:09:15,-,LIBRE,DESCANSANDO,,000:10:00,5,3,0
000:09:45,000:10:30,4,0,5,000:16:00,000:16:45,000:19:00,000:19:45,OCUP,000:09:15,-,LIBRE,DESCANSANDO,,000:10:00,5,3,0
000:10:00,000:10:30,4,0,5,000:16:00,000:16:45,000:19:00,000:19:45,OCUP,000:09:15,-,LIBRE,ACTIVO,000:11:00,,5,3,0
000:10:30,000:11:15,5,0,5,000:16:00,000:16:45,000:19:00,000:19:45,LIBRE,-,000:11:20,OCUPADO,ACTIVO,000:11:00,,5,3,0
000:11:00,000:11:15,5,0,5,000:16:00,000:16:45,000:19:00,000:19:45,LIBRE,-,000:12:20,OCUPADO,DESCANSANDO,,000:12:00,6,3,0
000:11:15,000:12:00,6,0,5,000:16:00,000:16:45,000:19:00,000:19:45,LIBRE,-,000:12:20,OCUPADO,DESCANSANDO,,000:12:00,6,3,0
000:12:00,000:12:45,7,0,5,000:16:00,000:16:45,000:19:00,000:19:45,LIBRE,-,000:12:20,OCUPADO,ACTIVO,000:13:00,,6,3,0
000:12:20,000:12:45,6,0,5,000:16:45,000:19:00,000:19:45,000:20:30,OCUP,000:12:50,-,LIBRE,ACTIVO,000:13:00,,6,4,0
000:12:45,000:13:30,7,0,5,000:16:45,000:19:00,000:19:45,000:20:30,OCUP,000:12:50,-,LIBRE,ACTIVO,000:13:00,,6,4,0
000:12:50,000:13:30,7,0,5,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:13:40,OCUPADO,ACTIVO,000:13:00,,6,4,0
000:13:00,000:13:30,7,0,5,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,DESCANSANDO,,000:14:00,7,4,0
